forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2006-03-31,20,17.895480957031275,21.464999999999982,19.609194193348834,23.227322273563935,11.797728410307212,14.150960286303164,1.0,0.0,5.487213684082036,8.947740478515637,3.038093017578123,5.824349060058599,0.25,25.342984008789045,16.62948540865926,15.57703482821632
2006-04-28,20,6.731493530273417,5.940000000000009,8.148113958676566,7.608153521058852,4.428779570768684,3.908040694395127,0.3,0.0,1.6435949707031234,3.3657467651367083,1.6687457275390625,2.2260291544596313,0.8,26.097991943359396,-13.324806906959699,-7.097128575588552
2006-06-01,20,9.83495666503905,8.419999999999993,11.022294235474552,9.589160547201182,6.453817120727308,5.525305500297101,0.05,0.0,2.1093088378906244,4.917478332519525,1.2069613037109286,2.7445828247070256,0.7,23.352050781250007,-16.80471098621209,-14.945350859639781
2006-06-30,20,6.968827514648439,10.149999999999954,8.51267411956695,11.061916651286026,4.567334789002995,6.652259366577087,1.0,0.0,1.9621774291992236,3.4844137573242193,1.7199636840820314,2.388851623535158,0.7,21.424053955078136,31.34160084090177,23.045215509038464
2006-08-01,20,7.011101684570337,6.585000000000013,7.672534652439673,7.2835087698169305,4.585280158548476,4.306608462189514,0.3,0.0,2.1146251831054688,3.5055508422851687,0.7927167358398434,2.1376309204101607,0.9,27.74591064453122,-6.470792476390632,-5.3411878109473365
2006-09-01,20,9.755081787109372,8.215000000000003,11.286537232270476,10.1597490126479,6.37143463790188,5.365545537458149,0.0,0.0,0.6583852539062474,4.877540893554686,2.6989136352539083,2.7449465942382805,1.0,33.572988891601554,-18.74719156554313,-11.09070921161373
2006-09-29,20,9.545087890624979,8.75999999999998,11.124574345291366,10.191025463612549,6.232619919661605,5.719984050629905,0.3,0.0,2.266426513671875,4.772543945312489,1.4884242553710971,2.8424649047851536,0.6,25.62926940917967,-8.962190532248863,-9.160499941954708
2006-11-01,20,6.229102172851566,8.164999999999946,7.050979571288082,8.85118636116081,4.063238196925253,5.326022748910372,1.0,0.0,0.8725844726562512,3.114551086425783,1.9422238769531255,1.9764531453450533,1.0,28.148083496093772,23.709710069178108,20.338593228271336
2006-12-01,20,3.8560498046875296,4.900000000000017,4.904929738690495,6.130497532827186,2.513466573621491,3.1939385730375345,0.95,0.05,1.0000671386718745,1.9280249023437648,1.334092102050781,1.420728047688807,0.9,21.675027465820307,21.30510602678539,19.991326765472156
2006-12-29,20,6.291647949218747,7.039999999999987,6.710772176882222,7.685050422736324,4.098404007870865,4.58588345188538,0.85,0.05,1.56028485107422,3.1458239746093737,0.6213298339843731,1.775812886555989,0.95,21.652175903320305,10.630000721324443,12.677577794046561
2007-02-01,20,4.195286865234391,4.795000000000004,5.009266777321184,5.353270028683399,2.7319698606111893,3.1225029187363513,0.65,0.0,0.798380126953129,2.0976434326171955,1.4312756347656235,1.4424330647786494,0.9,21.05961303710937,12.507051819929359,6.42603958924188
2007-02-28,20,6.286655883789069,5.275000000000046,7.018640683024824,6.299801584177122,4.09375351884828,3.434982001736268,0.4,0.0,1.5242237548828155,3.1433279418945346,1.131907531738293,1.933153076171881,0.6,17.223233032226563,-19.178310593156677,-11.410503795122242
2007-03-30,20,7.341934204101591,8.749999999999961,7.832749161764318,9.599791664406014,4.779187279229735,5.695759118884274,0.75,0.0,0.30741790771484095,3.6709671020507955,1.6627404785156248,1.8803751627604204,0.95,19.255349731445307,16.09218052455287,18.40709219965173
2007-04-30,20,3.2407238769531093,2.909999999999991,3.6241986522581855,3.4486229135699844,2.110273116756411,1.894914532346623,0.55,0.0,0.7823333129882816,1.6203619384765546,0.7978208007812484,1.066838684082028,1.0,15.8015411376953,-11.365081682237784,-5.0911840200715535
2007-06-01,20,2.672489013671884,1.3099999999999965,3.016022529302653,1.6876018487783215,1.7401352302023798,0.852979054321002,0.5,0.0,1.0278807983398432,1.336244506835942,0.4622577514648456,0.9421276855468771,1.0,14.901385498046892,-104.00679493678561,-78.71647459298492
2007-06-29,20,4.5040399169921725,8.164999999999946,5.040088303593557,8.681215352702592,2.9346933040208807,5.320061826479583,1.0,0.0,0.3007558593749906,2.2520199584960863,1.0735663452148418,1.2087807210286396,0.95,12.93837585449216,44.83723310481075,41.942595606449245
2007-08-01,20,15.088420410156255,13.87000000000005,18.34556093111291,16.771195544742824,9.831307114131288,9.037409216223537,0.2,0.0,2.26183856201172,7.5442102050781275,8.052107360839866,5.952718709309905,0.35,14.810076904296864,-8.784573973728909,-9.387317571785122
2007-08-31,20,8.069270019531222,10.109999999999985,10.799802391368639,13.24998113206202,5.247833898957586,6.575018631182618,0.9,0.0,1.4536940917968724,4.034635009765611,1.8829331054687501,2.457087402343744,0.7,21.794458007812505,20.18526192352884,18.491941356538927
2007-10-01,20,3.681334228515624,1.6200000000000045,4.122712639567043,2.5011997121381446,2.3933193793813308,1.0531989637249288,0.5,0.1,1.231140380859376,1.840667114257812,0.575351013183595,1.2157195027669276,1.0,18.06491394042971,-127.24285361207491,-64.82940644682674
2007-11-01,20,20.889796142578113,14.790000000000026,23.750938181021606,18.065741058700056,13.575718556602563,9.611624550174877,0.05,0.0,3.279808166503905,10.444898071289057,9.316753417968737,7.680486551920566,0.15,22.662313842773436,-41.24270549410464,-31.46949302466442
2007-11-30,20,8.119227294921847,7.295000000000004,9.768997993500289,7.900727814575062,5.2658755647331095,4.7313076539628796,0.55,0.0,1.5337651977539049,4.059613647460924,1.3281412353515707,2.3071733601888,0.8,22.007553100585948,-11.298523576721625,-23.64681106313635
2007-12-31,20,6.698757324218747,5.234999999999985,9.210221144050145,7.0585055075419225,4.340615834787114,3.392140182919762,0.3,0.05,1.8162810058593795,3.3493786621093733,0.8199146728515556,1.9951914469401029,0.85,22.970324707031285,-27.960980405325035,-30.484011583034707
2008-02-01,20,3.629856567382808,2.080000000000001,4.121389400980347,3.038256078739917,2.3483675112713533,1.3456742250744926,0.65,0.05,1.3854455566406245,1.814928283691404,0.7989193725585954,1.333097737630208,1.0,21.8436492919922,-74.51233497032723,-35.649836424902276
2008-02-29,20,47.03320068359375,41.96500000000003,54.050121693689896,49.54832489600434,30.42577658798134,27.147157666435852,0.0,0.0,5.990683044433595,23.516600341796874,31.88851556396482,20.46526631673176,0.0,24.475146484375028,-12.077208825434795,-9.085669005227238
2008-04-01,20,9.503368530273468,8.870000000000005,11.876981183795719,10.637762922720183,6.104019111115682,5.697206137289314,0.45,0.0,2.246173645019524,4.751684265136734,3.555221008300781,3.517692972819013,0.7,51.388519287109354,-7.140569676138252,-11.649237439093584
2008-04-30,20,33.706934814453135,36.52999999999998,36.39914284975049,39.16442263074995,21.591944213989372,23.400339617912184,1.0,0.0,5.300314453125002,16.853467407226567,13.278356506347677,11.81071278889975,0.2,39.4901397705078,7.728073324792902,7.060693341686844
2008-05-30,20,7.857424926757841,5.825000000000012,9.67033722237831,7.223953211365659,5.012149815800076,3.715692220947807,0.65,0.0,3.0864945068359417,3.9287124633789205,1.8345754394531224,2.949927469889328,1.0,49.210699462890645,-34.891415051636486,-33.864892800851514
